web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1690037500-1","https://www.booking.com/hotel/mx/barcelo-costa-cancun.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&dest_id=-1655011;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=21;hpos=21;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1690036355;srpvid=cab4664050ef001a;type=total;ucfs=1&#tab-reviews","213
Page 213","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&srpvid=cab4664050ef001a&cc1=mx&pagename=barcelo-costa-cancun&r_lang=&review_topic_category_id=&type=total&score=&sort=&time_of_year=&dist=1&rows=10&rurl=&text=&translate=&_=1690037463328&offset=2120","There are no comments available for this review"
"1690037500-2","https://www.booking.com/hotel/mx/barcelo-costa-cancun.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&dest_id=-1655011;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=21;hpos=21;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1690036355;srpvid=cab4664050ef001a;type=total;ucfs=1&#tab-reviews","213
Page 213","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&srpvid=cab4664050ef001a&cc1=mx&pagename=barcelo-costa-cancun&r_lang=&review_topic_category_id=&type=total&score=&sort=&time_of_year=&dist=1&rows=10&rurl=&text=&translate=&_=1690037463328&offset=2120","There are no comments available for this review"
"1690037500-3","https://www.booking.com/hotel/mx/barcelo-costa-cancun.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&dest_id=-1655011;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=21;hpos=21;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1690036355;srpvid=cab4664050ef001a;type=total;ucfs=1&#tab-reviews","213
Page 213","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&srpvid=cab4664050ef001a&cc1=mx&pagename=barcelo-costa-cancun&r_lang=&review_topic_category_id=&type=total&score=&sort=&time_of_year=&dist=1&rows=10&rurl=&text=&translate=&_=1690037463328&offset=2120","There are no comments available for this review"
"1690037505-4","https://www.booking.com/hotel/mx/barcelo-costa-cancun.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&dest_id=-1655011;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=21;hpos=21;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1690036355;srpvid=cab4664050ef001a;type=total;ucfs=1&#tab-reviews","5
Page 5","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx;dist=1;pagename=barcelo-costa-cancun;srpvid=cab4664050ef001a;type=total&&offset=40;rows=10","all"
"1690037505-5","https://www.booking.com/hotel/mx/barcelo-costa-cancun.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&dest_id=-1655011;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=21;hpos=21;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1690036355;srpvid=cab4664050ef001a;type=total;ucfs=1&#tab-reviews","5
Page 5","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx;dist=1;pagename=barcelo-costa-cancun;srpvid=cab4664050ef001a;type=total&&offset=40;rows=10","cleanliness and attentive staff."
"1690037505-6","https://www.booking.com/hotel/mx/barcelo-costa-cancun.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&dest_id=-1655011;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=21;hpos=21;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1690036355;srpvid=cab4664050ef001a;type=total;ucfs=1&#tab-reviews","5
Page 5","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx;dist=1;pagename=barcelo-costa-cancun;srpvid=cab4664050ef001a;type=total&&offset=40;rows=10","minor A/C issues. room was hot but my kids room was changed although they moved them one floor down I worried that we were not on the same floor at least."
"1690037505-7","https://www.booking.com/hotel/mx/barcelo-costa-cancun.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&dest_id=-1655011;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=21;hpos=21;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1690036355;srpvid=cab4664050ef001a;type=total;ucfs=1&#tab-reviews","5
Page 5","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx;dist=1;pagename=barcelo-costa-cancun;srpvid=cab4664050ef001a;type=total&&offset=40;rows=10","Every thing was awesome especially the nice staff and great food"
"1690037505-8","https://www.booking.com/hotel/mx/barcelo-costa-cancun.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&dest_id=-1655011;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=21;hpos=21;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1690036355;srpvid=cab4664050ef001a;type=total;ucfs=1&#tab-reviews","5
Page 5","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx;dist=1;pagename=barcelo-costa-cancun;srpvid=cab4664050ef001a;type=total&&offset=40;rows=10","just needing the food reservation at 9 am"
"1690037505-9","https://www.booking.com/hotel/mx/barcelo-costa-cancun.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&dest_id=-1655011;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=21;hpos=21;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1690036355;srpvid=cab4664050ef001a;type=total;ucfs=1&#tab-reviews","5
Page 5","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx;dist=1;pagename=barcelo-costa-cancun;srpvid=cab4664050ef001a;type=total&&offset=40;rows=10","Staff was friendly and resort was clean.
Entertainment were good everyday."
"1690037505-10","https://www.booking.com/hotel/mx/barcelo-costa-cancun.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&dest_id=-1655011;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=21;hpos=21;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1690036355;srpvid=cab4664050ef001a;type=total;ucfs=1&#tab-reviews","5
Page 5","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx;dist=1;pagename=barcelo-costa-cancun;srpvid=cab4664050ef001a;type=total&&offset=40;rows=10","Food was terrible and same everyday. Not at all good when you go for all inclusive drink at bar were average. All restaurants in resort had terrible food and had to do reservations for dinner and most of time didn't got reservation. Had to order food from outside."
"1690037505-11","https://www.booking.com/hotel/mx/barcelo-costa-cancun.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&dest_id=-1655011;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=21;hpos=21;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1690036355;srpvid=cab4664050ef001a;type=total;ucfs=1&#tab-reviews","5
Page 5","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx;dist=1;pagename=barcelo-costa-cancun;srpvid=cab4664050ef001a;type=total&&offset=40;rows=10","Employees were always very nice and helpful. The food was delicious. Restaurant reservation went smoothly each time at 9 a.m. We felt save all the time."
"1690037505-12","https://www.booking.com/hotel/mx/barcelo-costa-cancun.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&dest_id=-1655011;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=21;hpos=21;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1690036355;srpvid=cab4664050ef001a;type=total;ucfs=1&#tab-reviews","5
Page 5","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx;dist=1;pagename=barcelo-costa-cancun;srpvid=cab4664050ef001a;type=total&&offset=40;rows=10","The hotel is located directly at the port, from where the ferry to Isla Mujares starts, so you can hear the ferry and smell the gas from time to time. It is written in the hotel description so we were not surprised by that, but still a small discomfort. In the afternoon the animation was a bit loud. We had a good time in the hotel"
"1690037505-13","https://www.booking.com/hotel/mx/barcelo-costa-cancun.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&dest_id=-1655011;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=21;hpos=21;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1690036355;srpvid=cab4664050ef001a;type=total;ucfs=1&#tab-reviews","5
Page 5","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx;dist=1;pagename=barcelo-costa-cancun;srpvid=cab4664050ef001a;type=total&&offset=40;rows=10","I would like to share the way I was treated on the reception the day of my arrival. 
I came to CDMX on a business trip and decided to extend my stay and enjoy Cancún for a couple of days. The day I arrived in Mexico, my credit card was robbed, which is unfortunate but manageable given that you can still use the bank’s app or Apple Pay. I am aware that contactless payments are not yet that common in Mexico, so was keeping it in mind when booking my stay in Cancún. I chose a non refundable all inclusive option precisely for that reason. Booking’s confirmation clearly stated that the hotel will charge me in advance. They didn’t. 
When I arrived at the hotel, a lady at the reception, I think her name was Fabiana, stated that they only accept physical cards and when I explained that won’t be an option and asked which solution they can provide, her reaction was hostile and she started to repeat over and over again that they only accept physical cards. She didn’t smile, she was rude in the way she spoke and I felt humiliated to say the least. She finally told me I should write to their accounting guy to explain the situation and ask for help. I repeatedly asked to assist with writing an email (why would she assume my Spanish is good enough to do that) and was openly denied any help. She couldn’t respond as to how soon the email will be replied and was constantly demonstrating that she’s doing me the favour by simply talking to me. Why should I go through all that stress after being awake from 4 am for an early flight and have to deal with this kind of attitude. 
I finally got the response from the accounting person and the payment was settled - I was provided the link to pay online. I showed a confirmation email received from the payment system. Fabiana said that it will take time to process the payment and that I should wait. To my question how long it might take, she responded she doesn’t know, as simple as that."
